year0,orig,dest,sd_drop_neg,sd_rev_neg,mig_rate,da_min_open,da_min_closed,da_pb_closed
1990,IRN,COM,0,0,0,0,0,0
1990,MDV,COM,0,0,0,0,0,0
1990,NPL,COM,0,0,0,0,0,0
1990,PAK,COM,0,0,0,0,0,0
1990,LKA,COM,0,0,0,0,0,0
1990,ARM,COM,0,0,0,0,0,0
1990,AZE,COM,0,0,0,0,0,0
1990,BHR,COM,0,0,0,0,0,0
1990,CYP,COM,0,0,0,0,0,0
1990,GEO,COM,0,0,0,0,0,0
1990,IRQ,COM,0,0,0,0,0,0
1990,ISR,COM,0,0,0,0,0,0.04
1990,JOR,COM,0,0,0,0,0,0
1990,KWT,COM,0,0,0,0,0,0
1990,LBN,COM,0,0,0,0,0,0
1990,OMN,COM,0,0,0,0,0,0
1990,QAT,COM,0,0,0,0,0,0
1990,SAU,COM,0,0,0,0,0,0
1990,PSE,COM,0,0,0,0,0,0
1990,SYR,COM,0,0,0,0,0,0
1990,TUR,COM,0,0,0,0,0,0.01
1990,ARE,COM,0,0,0,0,0,0
1990,YEM,COM,0,0,0,0,0,0
1990,BLR,COM,0,0,0,0,0,0
1990,BGR,COM,0,0,0,0,0,0
1990,CZE,COM,0,0,0,0,0,0
1990,HUN,COM,0,0,0,0,0,0
1990,POL,COM,0,0,0,0.08,0,0.05
1990,MDA,COM,0,0,0,0,0,0
1990,ROU,COM,0,0,0,0,0,0
1990,RUS,COM,0,0,0,0,0,0
1990,SVK,COM,0,0,0,0,0,0
1990,UKR,COM,0,0,0,0,0,0
1990,DNK,COM,0,7,0,1.52,1.14,3.13
1990,EST,COM,0,0,0,0,0,0
1990,FRO,COM,0,0,0,0,0,0
1990,FIN,COM,0,0,0,0,0,0.1
1990,ISL,COM,0,0,0,0,0,0
1990,IRL,COM,0,0,0,0.03,0,0.01
1990,IMN,COM,0,0,0,0,0,0
1990,LVA,COM,0,0,0,0,0,0
1990,LTU,COM,0,0,0,0.03,0,0
1990,NOR,COM,0,0,0,0,0,0.15
1990,SWE,COM,0,0,0,0,0,0
1990,GBR,COM,0,0,0,0,0,0.1
1990,ALB,COM,0,0,0,0,0,0
1990,AND,COM,0,0,0,0,0,0
1990,BIH,COM,0,0,0,0,0,0
1990,HRV,COM,0,0,0,0.01,0,0
1990,GIB,COM,0,0,0,0,0,0
1990,GRC,COM,0,0,0,0.16,0,0.02
1990,ITA,COM,0,0,0,0,0,0.25
1990,MLT,COM,0,0,0,0,0,0
1990,MKD,COM,0,0,0,0,0,0
1990,PRT,COM,0,0,0,0,0,0.08
1990,SMR,COM,0,0,0,0,0,0
1990,SCG,COM,0,0,0,0.34,0,0.02
1990,SVN,COM,0,0,0,0.01,0,0
1990,ESP,COM,0,0,0,0,0,0.16
1990,AUT,COM,0,0,0,0,0,0
1990,BEL,COM,0,0,0,0,0,0.24
1990,FRA,COM,0,0,232.18,26.88,0,1265.78
1990,DEU,COM,0,0,0,0,0,0.1
1990,LIE,COM,0,0,0,0,0,0
1990,LUX,COM,0,0,0,0,0,0.02
1990,MCO,COM,0,0,0,0,0,0.01
1990,NLD,COM,0,0,0,0,0,0.02
1990,CHE,COM,0,0,0,0,0,0.12
1990,AIA,COM,0,0,0,0,0,0
1990,ATG,COM,0,0,0,0,0,0
1990,ABW,COM,0,0,0,0,0,0
1990,BHS,COM,0,0,0,0,0,0
1990,BRB,COM,0,0,0,0,0,0
1990,VGB,COM,0,0,0,0,0,0
1990,CYM,COM,0,0,0,0,0,0
1990,CUB,COM,0,0,0,0.01,0,0
1990,CUW,COM,0,0,0,0,0,0
1990,DMA,COM,0,0,0,0,0,0
1990,DOM,COM,0,0,0,0,0,0
1990,GRD,COM,0,0,0,0,0,0
1990,GLP,COM,0,0,0,0,0,0.1
1990,HTI,COM,0,0,0,0,0,0
1990,JAM,COM,0,0,0,0,0,0
1990,MTQ,COM,0,0,0,0,0,0.08
1990,MSR,COM,0,0,0,0,0,0
1990,PRI,COM,0,0,0,0,0,0
1990,KNA,COM,0,0,0,0,0,0
1990,LCA,COM,0,0,0,0,0,0
1990,VCT,COM,0,0,0,0,0,0
1990,SXM,COM,0,0,0,0,0,0
1990,TTO,COM,0,0,0,0,0,0
1990,TCA,COM,0,0,0,0,0,0
1990,VIR,COM,0,0,0,0,0,0
1990,BLZ,COM,0,0,0,0,0,0
1990,CRI,COM,0,0,0,0,0,0
1990,SLV,COM,0,0,0,0,0,0
1990,GTM,COM,0,0,0,0.01,0,0
1990,HND,COM,0,0,0,0,0,0
1990,MEX,COM,0,0,0,0,0,0.01
1990,NIC,COM,0,0,0,0,0,0
1990,PAN,COM,0,0,0,0,0,0
1990,ARG,COM,0,0,0,0.04,0,0.01
1990,BOL,COM,0,0,0,0,0,0
1990,BRA,COM,0,0,0,0.02,0,0.01
1990,CHL,COM,0,0,0,0,0,0
1990,COL,COM,0,0,0,0,0,0
1990,ECU,COM,0,0,0,0,0,0
1990,FLK,COM,0,0,0,0,0,0
1990,GUF,COM,0,0,0,0,0,0.09
1990,GUY,COM,0,0,0,0,0,0
1990,PRY,COM,0,0,0,0,0,0
1990,PER,COM,0,0,0,0,0,0
1990,SUR,COM,0,0,0,0,0,0
1990,URY,COM,0,0,0,0,0,0
1990,VEN,COM,0,0,0,0.04,0,0.01
1990,BMU,COM,0,0,0,0,0,0
1990,CAN,COM,0,0,0,0,0,0.09
1990,GRL,COM,0,0,0,0,0,0
1990,SPM,COM,0,0,0,0,0,0
1990,USA,COM,0,0,0,1.23,0,0.22
1990,AUS,COM,0,0,0,0,0,0.04
1990,NZL,COM,0,0,0,0,0,0
1990,FJI,COM,0,0,0,0,0,0
1990,NCL,COM,0,0,0,0,0,0.03
1990,PNG,COM,0,0,0,0,0,0
1990,SLB,COM,0,0,0,0,0,0
1990,VUT,COM,0,0,0,0,0,0
1990,GUM,COM,0,0,0,0,0,0
1990,KIR,COM,0,0,0,0,0,0
1990,MHL,COM,0,0,0,0,0,0
1990,FSM,COM,0,0,0,0,0,0
1990,NRU,COM,0,0,0,0,0,0
1990,MNP,COM,0,0,0,0,0,0
1990,PLW,COM,0,0,0,0,0,0
1990,ASM,COM,0,0,0,0,0,0
1990,COK,COM,0,0,0,0,0,0
1990,PYF,COM,0,0,0,0,0,0.03
1990,NIU,COM,0,0,0,0,0,0
1990,WSM,COM,0,0,0,0,0,0
1990,TKL,COM,0,0,0,0,0,0
1990,TON,COM,0,0,0,0,0,0
1990,TUV,COM,0,0,0,0,0,0
1990,WLF,COM,0,0,0,0,0,0
1990,BDI,DJI,0,0,0,0,0,0
1990,COM,DJI,0,0,0,0,0,0
1990,DJI,DJI,0,0,0,0,0,0
1990,ERI,DJI,0,0,0,0,0,3.56
1990,ETH,DJI,0,0,5731.82,0,0,1861.76
1990,KEN,DJI,0,0,0,0,0,45.4
1990,MDG,DJI,0,0,0,0,0,0
1990,MWI,DJI,0,0,0,0,0,0.6
1990,MUS,DJI,0,0,0,0,0,0
1990,MYT,DJI,0,0,0,0,0,0
1990,MOZ,DJI,0,0,0,0,0,0
1990,REU,DJI,0,0,0,0,0,0
1990,RWA,DJI,0,0,0,0,0,0
1990,SYC,DJI,0,0,0,0,0,0.03
1990,SOM,DJI,0,0,43278.79,0,0,10699.82
1990,UGA,DJI,0,0,0,0,0,3.78
1990,TZA,DJI,0,0,0,0,0,1.7
1990,ZMB,DJI,0,0,0,0,0,0
1990,ZWE,DJI,0,0,0,0,0,0
1990,AGO,DJI,0,0,0,0,0,0
1990,CMR,DJI,0,0,0,0,0,0
1990,CAF,DJI,0,0,0,0,0,0
1990,TCD,DJI,0,0,0,0,0,0
1990,COG,DJI,0,0,0,0,0,0
1990,COD,DJI,0,0,0,0,0,0
1990,GNQ,DJI,0,0,0,0,0,0
1990,GAB,DJI,0,0,0,0,0,0
1990,STP,DJI,0,0,0,0,0,0
1990,DZA,DJI,0,0,0,0,0,1.88
1990,EGY,DJI,0,0,0,0,0,37.75
1990,LBY,DJI,0,0,0,0,0,108.81
1990,MAR,DJI,0,0,0,0,0,0
1990,SUD,DJI,0,0,0,0,0,30.35
1990,TUN,DJI,0,0,0,0,0,0
1990,ESH,DJI,0,0,0,0,0,0
1990,BWA,DJI,0,0,0,0,0,0
1990,SWZ,DJI,0,0,0,0,0,0.01
1990,LSO,DJI,0,0,0,0,0,0
1990,NAM,DJI,0,0,0,0,0,0.33
1990,ZAF,DJI,0,0,0,0,0,0.04
1990,BEN,DJI,0,0,0,0,0,0
1990,BFA,DJI,0,0,0,0,0,0
1990,CPV,DJI,0,0,0,0,0,0
1990,CIV,DJI,0,0,0,0,0,0
1990,GMB,DJI,0,0,0,0,0,0
1990,GHA,DJI,0,0,0,0,0,0
1990,GIN,DJI,0,0,0,0,0,0
1990,GNB,DJI,0,0,0,0,0,0
1990,LBR,DJI,0,0,0,0,0,0
1990,MLI,DJI,0,0,0,0,0,0
1990,MRT,DJI,0,0,0,0,0,0
1990,NER,DJI,0,0,0,0,0,0
1990,NGA,DJI,0,0,0,0,0,0
1990,SHN,DJI,0,0,0,0,0,0
1990,SEN,DJI,0,0,0,0,0,0
1990,SLE,DJI,0,0,0,0,0,0
1990,TGO,DJI,0,0,0,0,0,0
1990,KAZ,DJI,0,0,0,0,0,0
1990,KGZ,DJI,0,0,0,0,0,0
1990,TJK,DJI,0,0,0,0,0,0
1990,TKM,DJI,0,0,0,0,0,0
1990,UZB,DJI,0,0,0,0,0,0
1990,CHN,DJI,0,0,0,0,0.17,0.66
1990,HKG,DJI,0,0,0,0,0,0
1990,MAC,DJI,0,0,0,0,0,0
1990,TWN,DJI,0,0,0,0,0,0
1990,PRK,DJI,0,0,0,0,0,0
1990,JPN,DJI,0,0,0,0,0,0
1990,MNG,DJI,0,0,0,0,0,0
1990,KOR,DJI,0,0,0,0,0,0
1990,BRN,DJI,0,0,0,0,0,0
1990,KHM,DJI,0,0,0,0,0,0
1990,IDN,DJI,0,0,0,0,0,0.01
1990,LAO,DJI,0,0,0,0,0,0
1990,MYS,DJI,0,0,0,0,0,0
1990,MMR,DJI,0,0,0,0,0,0
1990,PHL,DJI,0,0,0,0,0,0
1990,SGP,DJI,0,0,0,0,0,0
1990,THA,DJI,0,0,0,0,0,0
1990,TLS,DJI,0,0,0,0,0,0
1990,VNM,DJI,0,0,0,0,0,0
1990,AFG,DJI,0,0,0,0,0,0
1990,BGD,DJI,0,0,0,0,0,0
1990,BTN,DJI,0,0,0,0,0,0
